HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,N_UNITS,LI_UNITS,
"RIA0000001","METCALF COURT II (08)","555 VEAZIE ST","PROVIDENCE",RI,"2904",60,,
"RIA0000002","METCALF COURT II (16)","555 VEAZIE ST","PROVIDENCE",RI,"2904",52,,
"RIA0000003","METCALF COURT II (47)","70 WILD ST","PROVIDENCE",RI,"2904",36,,
"RIA0000050","PHOENIX APTS","540 CRANSTON ST","PROVIDENCE",RI,"2907",83,83,
"RIA0000901","RIVERSTONE APTS","38 MARY ST","PAWTUCKET",RI,"2860",103,103,
"RIA0000902","NORTH COVE LANDING","73 N COVE CIR","NORTH KINGSTOWN",RI,"2852",38,38,
"RIA0000903","MARSHFIELD COMMONS","19 METCALF MARSH DR","NORTH SMITHFIELD",RI,"2896",38,38,
"RIA0000904","AROUND PUBLIC & FRIENDSHIP (APF)","468 PUBLIC ST","PROVIDENCE",RI,"2907",37,37,
"RIA1988015","OXFORD GARDENS","165 GALLUP ST","PROVIDENCE",RI,"2905",50,50,
"RIA1990020","CRANSTON COMMONS EAST","1303 ELMWOOD AVE","CRANSTON",RI,"2910",19,19,
"RIA1991015","DOUGLAS MANOR","1155 DOUGLAS AVE","NORTH PROVIDENCE",RI,"2904",100,100,
"RIA1991020","EAGLE III","81 SPRING ST","MANVILLE",RI,"2838",32,32,
"RIA1991025","ERIK ESTATES","99 ELM ST","WOONSOCKET",RI,"2895",16,16,
"RIA1991030","MARVIN GARDENS I","128 OAK ST","PROVIDENCE",RI,"2909",121,121,
"RIA1992010","CANONCHET CLIFFS III","807 MAIN ST","HOPE VALLEY",RI,"2832",23,23,
"RIA1992020","NEIGHBORHOOD PRESERVATION APTS (NPA)","393 W AVE","PAWTUCKET",RI,"2860",18,18,
"RIA1992025","RESTORE APTS","31 MOORE ST","CENTRAL FALLS",RI,"2863",25,25,
"RIA1992027","WEST END PRESERVATION I","72 BRIDGHAM ST","PROVIDENCE",RI,"2907",23,23,
"RIA1993025","ADVENT HOUSE I (LINWOOD COURT I)","108 LINWOOD AVE","PROVIDENCE",RI,"2909",44,44,
"RIA1993030","PIDGE MANOR","110 PIDGE AVE","PAWTUCKET",RI,"2860",12,12,
"RIA1993040","PROVIDENCE NEW CITY APTS","101 MINER ST","PROVIDENCE",RI,"2905",100,99,
"RIA1993045","COVE","95 HULING RD","NORTH KINGSTOWN",RI,"2852",18,18,
"RIA1994005","40-42 PARK STREET","40 PARK ST","PAWTUCKET",RI,"2860",27,27,
"RIA1994010","950 MAIN STREET","950 MAIN ST","PAWTUCKET",RI,"2860",24,21,
"RIA1994015","ADVENT HOUSE II","126 LINWOOD AVE","PROVIDENCE",RI,"2907",30,30,
"RIA1994020","CLARKE SCHOOL APTS","24 MARY ST","NEWPORT",RI,"2840",56,56,
"RIA1995015","HISTORIC WEST END II","38 ARCH ST","PROVIDENCE",RI,"2907",24,24,
"RIA1995020","PARKVIEW TERRACE","72 GOUGH AVE","WEST WARWICK",RI,"2893",83,83,
"RIA1995025","PROJECT RENEW","99 SPRING ST","LINCOLN",RI,"2838",34,34,
"RIA1996005","HANORA LIPPITT MILLS","1 MAIN ST","WOONSOCKET",RI,"2895",117,117,
"RIA1996010","JAMESTOWN VILLAGE","21 PEMBERTON AVE","JAMESTOWN",RI,"2835",20,19,
"RIA1996015","STAFFORD POINT","40 ALICIA CIR","TIVERTON",RI,"2878",24,24,
"RIA1996020","CENTENNIAL HOUSES","53 FULLER AVE","CENTRAL FALLS",RI,"2863",17,17,
"RIA1996025","CONSTITUTION HILL I (RECLAIMING THE VISION)","133 OLO ST","WOONSOCKET",RI,"2895",44,44,
"RIA1997005","BARRINGTON COVE","90 BAY SPRING AVE","BARRINGTON",RI,"2806",60,60,
"RIA1997010","BOWLING LANE","10 BOWLING LN","WEST KINGSTON",RI,"",,,
"RIA1997020","CHARLESGATE EAST AFFORDABLE HOUSING","50 RANDALL ST","PROVIDENCE",RI,"2904",100,100,
"RIA1997025","PARK WEST (CHARLESGATE PARK)","359 MONTGOMERY AVE","PROVIDENCE",RI,"2905",100,100,
"RIA1997030","CHARLESGATE SOUTH AFFORDABLE HOUSING","20 RANDALL ST","PROVIDENCE",RI,"2904",100,100,
"RIA1997035","CHATHAM VILLAGE","190 CHATHAM ST","PROVIDENCE",RI,"2904",40,40,
"RIA1997045","HUNTINGTON TOWERS","170 BENEDICT ST","PROVIDENCE",RI,"2909",106,106,
"RIA1997050","MEADOWBROOK","75 MEADOWBROOK WAY","PEACE DALE",RI,"2879",47,47,
"RIA1997055","MOUNT HOPE COURT APTS","75 PLEASANT ST","PROVIDENCE",RI,"2906",36,36,
"RIA1997060","PROVIDENCE TANNER","104 SOMERSET ST","PROVIDENCE",RI,"2907",27,27,
"RIA1997065","REGAL COURT","33 LONG ST","EAST GREENWICH",RI,"2818",35,35,
"RIA1997070","SAKONNET VIEW","3225 E MAIN RD","PORTSMOUTH",RI,"2871",24,23,
"RIA1997075","SCHOOL HOUSE PLACE","1515 W SHORE RD","WARWICK",RI,"2889",7,7,
"RIA1998005","BABCOCK VILLAGE","122 CROSS ST","WESTERLY",RI,"2891",150,150,
"RIA1998010","ADVENT APTS (GEMINI HOTEL)","344 WASHINGTON ST","PROVIDENCE",RI,"2903",57,57,
"RIA1998015","GREENWOOD TERRACE","2426 POST RD","WARWICK",RI,"2886",53,53,
"RIA1998020","IZANNAH WALKER HOUSE","1055 DEXTER ST","CENTRAL FALLS",RI,"2863",25,25,
"RIA1998035","CONSTITUTION HILL II & III (SECURING THE FUTURE)","74 E ST","WOONSOCKET",RI,"2895",46,46,
"RIA1998045","OPERATION HOPE RENEWED","210 BELLEVUE AVE","PROVIDENCE",RI,"2907",19,19,
"RIA1999010","ELMWOOD NEIGHBORHOOD REVITALIZATION","114 HAMILTON ST","PROVIDENCE",RI,"2907",32,32,
"RIA1999015","FOREST FARM","191 FOREST AVE","MIDDLETOWN",RI,"2842",50,45,
"RIA1999020","PROJECT RENAISSANCE","11 GODDARD ST","PROVIDENCE",RI,"2908",30,30,
"RIA1999025","SMITH BUILDING","57 EDDY ST","PROVIDENCE",RI,"2903",8,8,
"RIA2000005","ELMWOOD COMMONS","35 WARRINGTON ST","PROVIDENCE",RI,"2907",30,30,
"RIA2000010","FRANKLIN COURT","180 FRANKLIN ST","BRISTOL",RI,"2809",92,68,
"RIA2000015","MAIN STREET PHASE III","28 MAIN ST","CUMBERLAND",RI,"2864",32,32,
"RIA2001005","CATHEDRAL SQUARE I","5 CATHEDRAL SQ","PROVIDENCE",RI,"2903",100,100,
"RIA2001010","FRIENDSHIP/PINE","388 PINE ST","PROVIDENCE",RI,"2903",31,31,
"RIA2001015","HARBOR HOUSE HOUSING","111 WASHINGTON ST","NEWPORT",RI,"2840",37,31,
"RIA2001020","HARVARD/COMSTOCK","98 COMSTOCK AVE","PROVIDENCE",RI,"2907",43,43,
"RIA2001025","MEADOWBROOK II","37 WYNDHAM WAY","PEACE DALE",RI,"2879",12,12,
"RIA2001030","ROCK RIDGE APTS","181 ROCK RIDGE DR","WOONSOCKET",RI,"2895",151,114,
"RIA2001035","STEPHEN'S HALL","315 ELMWOOD AVE","PROVIDENCE",RI,"2907",32,32,
"RIA2001040","CHIMNEY HILL APTS","2065 MENDON RD","CUMBERLAND",RI,"2864",123,123,
"RIA2002005","CHARLESGATE NORTH AFFORDABLE HOUSING","670 N MAIN ST","PROVIDENCE",RI,"2904",182,182,
"RIA2002010","EVERGREEN DRIVE APTS","15 EVERGREEN DR","EAST PROVIDENCE",RI,"2914",84,84,
"RIA2002015","LOCKWOOD PLAZA","60 PRAIRIE AVE","PROVIDENCE",RI,"2905",208,208,
"RIA2002020","OLNEYVILLE REVITALIZATION","56 JULIAN ST","PROVIDENCE",RI,"2909",32,32,
"RIA2002025","ELMS","63 COWESETT AVE","WEST WARWICK",RI,"2893",120,120,
"RIA2002030","TRAFALGAR EAST APTS","5300 POST RD","EAST GREENWICH",RI,"2818",80,80,
"RIA2003015","BARTON ST REVITALIZATION","64 OLIVE ST","PAWTUCKET",RI,"2860",27,27,
"RIA2003020","BRADFORD COURT","45 N MAIN ST","PASCOAG",RI,"2859",98,98,
"RIA2003025","CENTENNIAL TOWERS","35 GOFF AVE","PAWTUCKET",RI,"2860",101,101,
"RIA2003040","ELMWOOD NEIGHBORHOOD REVITALIZATION II","697 BROAD ST","PROVIDENCE",RI,"2907",46,46,
"RIA2003045","FACTORY STREET","11 FACTORY ST","CUMBERLAND",RI,"2864",32,32,
"RIA2003050","MINERAL SPRING GARDENS","1905 MINERAL SPRING AVE","NORTH PROVIDENCE",RI,"2904",140,139,
"RIA2003055","NEWPORT HEIGHTS 1A","18 JOHN H CHAFEE BLVD","NEWPORT",RI,"2840",45,45,
"RIA2003060","NEWPORT HEIGHTS 1B","7 ROBERT H DOUGLAS LN","NEWPORT",RI,"2840",36,36,
"RIA2003065","VALLEY APTS","1 VALLEY ST","PROVIDENCE",RI,"2909",154,154,
"RIA2003070","PARKWAY TOWERS","10 OFFICE PKWY","EAST PROVIDENCE",RI,"2914",103,103,
"RIA2003075","SPRING VILLA APTS","20 MCGUIRE RD","NORTH PROVIDENCE",RI,"2904",100,100,
"RIA2003080","ST ELIZABETH ASSISTED LIVING AT MELROSE","109 MELROSE ST","PROVIDENCE",RI,"2907",69,69,
"RIA2003095","WATERVIEW APTS","300 PRIVILEGE ST","WOONSOCKET",RI,"2895",100,95,
"RIA2003115","CROSSROADS","311 LACOLLE LN","COVENTRY",RI,"2816",32,32,
"RIA2004005","TRAVELERS AID HOUSING","160 BROAD ST","PROVIDENCE",RI,"2903",192,192,
"RIA2004015","ADELAIDE APTS","203 ADELAIDE AVE","PROVIDENCE",RI,"2907",36,36,
"RIA2004020","BERKELEY VILLAGE A K A WOODWARD ST LP","16 WOODWARD ST","CUMBERLAND",RI,"2864",30,30,
"RIA2004035","HAGAN MANOR","30 HAGAN ST","PROVIDENCE",RI,"2904",80,80,
"RIA2004055","SOUTH WINDS APTS","29 S PIER RD","NARRAGANSETT",RI,"2882",48,48,
"RIA2004060","UPPER PINE","461 PINE ST","PROVIDENCE",RI,"2907",45,45,
"RIA2004065","BEACHWOOD APTS","30 KINGSTOWN RD","NARRAGANSETT",RI,"2882",56,56,
"RIA2004900","CONSTITUTION HILL IV (BUILDING THE DREAM)","165 CTR ST","WOONSOCKET",RI,"2895",19,19,
"RIA2005010","BLACKSTONE FALLS","1485 HIGH ST","CENTRAL FALLS",RI,"2863",130,130,
"RIA2005015","HERITAGE PLACE","719 FRONT ST","WOONSOCKET",RI,"2895",43,43,
"RIA2005020","LINCOLN VILLAGE","1640 LONSDALE AVE","LINCOLN",RI,"2865",27,27,
